Feat_group	feats	1	2	3	4	5	6	7	8	9	10	11	12
VerbPredicate	verb_edges_dist_1	0.02627641751	0.01790627208	0.02771336114	0.02633336174	0.02311290514	0.02662149842	0.0349919646	0.01551651303	0.03153203439	0.02752509078	0.01974862207	0.04145738449
VerbInflection	verbs_form_dist_Part	0.02565089737	0.02608772082	0.03366832497	0.03001406893	0.02588798265	0.027634492	0.04067123581	0.03219329544	0.03369112881	0.03324323113	0.007719202811	0.02115342777
SyntacticDep	dep_dist_nsubj	0.02487356483	0.03260500149	0.04266695304	0.0329074789	0.03178567304	0.0356398528	0.02680885007	0.02583237185	0.03427482342	0.04112775659	0.04483467607	0.03785940017
POS	xpos_dist_SP	0.02359860477	0.023368068	0.02963874543	0.02822972604	0.02237392885	0.02417916994	0.01583436487	0.01783986712	0.01959016511	0.01613881291	0.01956954837	0.01623391099
POS	xpos_dist_RD	0.02235296783	0.007745683133	0.004318460936	0.002425128458	0.01122027438	0.02554828646	0.01041543879	0.004851720504	0.006982563917	0.01245996416	0.004494718547	0.01397748231
VerbInflection	aux_num_pers_dist_Sing+3	0.02125538486	0.02790900521	0.0220785398	0.0200884875	0.02511492113	0.0371893416	0.0323103465	0.03006969116	0.02883328873	0.03269203052	0.03456546374	0.03181576557
POS	upos_dist_VERB	0.0198606698	-0.001931412875	0.0002622933433	0.007036598393	0.005751747532	-0.001600867745	0.009618550876	0.007742905483	0.009191835242	0.004749522407	0.007013947039	-0.002515796194
SyntacticDep	dep_dist_det	0.01926621342	0.01065686271	0.01279360402	0.01210956178	0.02443937305	0.03515119782	0.02200696453	0.02360902954	0.01793400099	0.01369146448	0.006803922511	0.0142337972
POS	upos_dist_DET	0.01678164316	0.0158355593	0.01453937427	0.008674490019	0.01764077401	0.0304106574	0.0178119742	0.01828865475	0.02190935696	0.01677141854	0.008453786713	0.01779901219
POS	upos_dist_PROPN	0.01637150567	0.01613134332	0.02394349822	0.01960771313	0.01410948249	0.01677342027	0.006852904543	0.01467326314	0.01608807198	0.01450789204	0.01447754009	0.01129598848
POS	xpos_dist_FB	0.01580961727	0.007524307452	-0.0003091461101	0.006187880647	0.01422609	0.0181629793	0.01645766191	0.01506012904	0.01179685313	0.01338057978	0.009640222963	0.007234198253
POS	xpos_dist_RI	0.01281890751	0.02111962309	0.02169417314	0.01771107224	0.01271463138	0.01863736991	0.01924123117	0.02829853375	0.02425567049	0.01325982857	-0.003939977332	0.002382007722
SyntacticDep	dep_dist_obj	0.01259659792	0.008414615326	0.009267573712	0.004755244789	0.002479354585	0.01166290585	0.005285423396	0.01385735651	0.004606860868	0.02756106436	0.01721267211	0.01407185643
POS	upos_dist_PRON	0.01108218104	0.02011705012	0.01169431906	0.001834274916	0.0117137457	0.01012298608	0.01115167985	0.01201111033	-0.008209597421	0.001086118118	0.01243095382	0.01382408563
POS	upos_dist_NOUN	0.008719456509	0.002136041792	-0.009105668836	-0.0001990115321	0.008208885373	0.0001688087478	-0.00233506659	-0.01071683704	0.002459765359	0.008420449932	0.004019807204	0.003897925462
POS	xpos_dist_S	0.008220730533	-0.004393810452	-0.01605674938	-0.007374575783	-0.0000199	-0.003736614302	-0.003572987485	-0.01133790915	0.001663252152	0.01403698073	0.01402098249	-0.001275056328
VerbPredicate	verb_edges_dist_3	0.007845047724	0.02458269223	0.01984491388	0.02045017673	0.01274701643	0.004380410363	0.01412983034	0.003455502548	0.005094925527	0.01869780035	0.01069978721	0.004661929564
POS	upos_dist_ADJ	0.007575731689	-0.01263316051	-0.009451271175	0.0007581046333	-0.003783241058	-0.00332662106	0.007027899304	0.006857085488	0.001773063945	0.004047432527	0.006225893125	0.003813376089
SyntacticDep	dep_dist_amod	0.004693914801	-0.002232383708	-0.001574562703	0.003390179386	0.0002627950876	0.00522360792	0.01349320027	0.009003227713	0.01813803872	0.01511969543	0.008749497668	-0.0003108500227
POS	upos_dist_NUM	0.003955575805	0.001397758627	-0.01196792149	-0.004163589303	0.002354420507	0.001698095179	0.005390838256	0.001352860803	0.01804652782	0.01144401624	0.001223784733	-0.001941106492
POS	xpos_dist_A	0.003586990348	-0.01136485083	-0.00521551733	0.0008358677545	-0.00253097045	0.0007968641408	0.005667486394	0.001513409262	-0.001499915178	-0.001145141391	-0.002017651782	-0.003396362486
POS	xpos_dist_V	0.0001443777685	-0.01835864978	-0.01902222167	-0.01586976613	-0.0117698799	-0.02291681654	-0.008649032819	0.0001246670486	-0.00904974655	-0.005470242484	-0.0008164467392	-0.007385706522
POS	xpos_dist_N	-0.0002263226142	0.001412318984	-0.01343360153	-0.008425573885	-0.001149420488	-0.001877615234	0.002037451565	0.001887044083	0.0141691288	0.00693566073	0.001424773807	-0.006158354755
POS	upos_dist_ADV	-0.001340320269	0.004926317467	0.01117532796	0.01047858121	0.003303351941	0.00515018409	0.01505918709	0.003528551432	0.001749655184	0.02660808474	-0.004856780499	-0.003766447558
POS	upos_dist_AUX	-0.002123123209	-0.005234389749	0.0010511306	-0.00812812313	-0.007086359513	0.009403686286	-0.005195145288	0.01727404317	0.00418938698	0.00607810804	-0.008092778737	0.007311122094
SyntacticDep	dep_dist_cop	-0.003339286037	-0.004414714174	-0.003946566875	-0.008981930903	-0.002099455197	-0.004501434179	-0.008585433872	0.009070299847	0.004388458693	-0.006732145281	-0.01815130022	-0.003707608493
SyntacticDep	dep_dist_nmod	-0.004038558498	-0.0007553189381	-0.008170270234	-0.006072970148	0.007336450995	-0.00229699956	-0.003087423686	0.003605163665	0.01124641128	0.01110666466	0.009451927341	-0.007476166488
VerbPredicate	verb_edges_dist_2	-0.004606374041	-0.003154558666	0.005969448213	0.00483594031	0.005173870266	0.002878648198	0.007118889932	0.003452671319	0.001584481191	0.01097948847	0.002003684972	-0.007096482699
POS	xpos_dist_PC	-0.004782797512	-0.004992357177	-0.006074359207	-0.009784879699	-0.002631718867	-0.0009779875844	-0.004306368564	0.009252246031	-0.01003004216	-0.004733604108	-0.007078519175	-0.006273857197
SyntacticDep	dep_dist_advmod	-0.01156309194	0.0009486034815	0.005400026595	0.003157857275	-0.001980790318	-0.005943186233	0.01114214547	0.000377508395	-0.005042702838	0.02287912052	-0.003598697227	-0.006295259104
POS	xpos_dist_VA	-0.01227099445	-0.01982585049	-0.005755703342	-0.01260713014	-0.02123873214	-0.01240864853	-0.01219953524	-0.01628694143	-0.01608437661	-0.0006034371398	-0.01543354904	-0.002119062128
POS	xpos_dist_B	-0.0140184603	-0.009954259675	0.0004529410541	0.002500372304	-0.006426202601	-0.00386288426	-0.002564413436	-0.006741263514	-0.006384297314	0.01380811128	-0.0114581404	-0.006432478465
SyntacticDep	dep_dist_aux	-0.01739914182	-0.01534073323	-0.0057489298	-0.01464241894	-0.01802442999	0.004329211263	-0.004319056209	0.001586597695	0.00369276947	0.004849206926	-0.005010512288	0.005026254537
Order	subj_post	-0.01810253247	0.0002316970764	-0.0008571237544	-0.006356569418	-0.01123236965	-0.01044232297	-0.007548825302	-0.001625776958	0.005975584592	-0.0002026073694	0.002724315663	-0.01665403539
